epoch,d_loss,g_loss,e_loss,recon_loss,kl_loss
383,1.1958,1.0463,0.1965,0.0032,3.4670
384,1.0505,1.1487,0.2026,0.0034,3.4441
385,1.2551,1.1574,0.2333,0.0040,3.4920
386,1.0515,1.3000,0.2478,0.0042,3.5430
387,1.1593,1.1761,0.2456,0.0042,3.6313
388,1.0055,1.2308,0.2376,0.0040,3.5189
389,1.2581,1.1050,0.2620,0.0045,3.5352
390,1.2811,1.1368,0.2468,0.0042,3.5339
391,0.9991,1.3611,0.2225,0.0038,3.4912
392,0.8720,1.3001,0.2258,0.0038,3.5286
393,1.2274,1.1438,0.2744,0.0048,3.5441
394,1.1184,1.2813,0.2523,0.0043,3.5392
395,0.8354,1.4181,0.2168,0.0036,3.5223
396,1.2876,1.1208,0.2328,0.0039,3.5401
397,1.0088,1.2967,0.2389,0.0041,3.5268
398,1.3285,1.1741,0.2420,0.0041,3.5175
399,0.9694,1.2993,0.2245,0.0038,3.5751
400,0.9615,1.1632,0.2336,0.0040,3.5508
401,1.2509,1.1664,0.2584,0.0045,3.5703
402,0.8573,1.5017,0.2455,0.0042,3.5746
403,0.6806,1.5632,0.2488,0.0043,3.5986
404,1.3689,1.1012,0.2487,0.0042,3.6441
405,1.1719,1.0399,0.2192,0.0037,3.6195
406,1.0969,1.1242,0.2252,0.0038,3.6112
407,1.0995,1.1847,0.2292,0.0038,3.7168
408,1.1664,1.0856,0.2169,0.0036,3.6695
409,1.2944,1.0158,0.2133,0.0035,3.6223
410,1.2017,1.0954,0.2148,0.0035,3.7409
411,1.3140,1.0021,0.2312,0.0039,3.7521
412,1.3034,1.0506,0.2301,0.0038,3.7958
413,1.3228,1.0756,0.2312,0.0039,3.7227
414,0.7161,1.5302,0.2121,0.0035,3.6774
415,0.9749,1.1930,0.2063,0.0034,3.6420
416,0.8169,1.4277,0.2318,0.0039,3.6778
417,1.1802,1.2543,0.2453,0.0042,3.7192
418,1.1496,1.2603,0.2503,0.0043,3.7342
419,0.8195,1.5506,0.2610,0.0045,3.7093
420,0.8864,1.4009,0.2468,0.0042,3.7286
421,1.1040,1.2670,0.2244,0.0037,3.6897
422,1.0291,1.2671,0.2242,0.0037,3.7192
423,0.8812,1.4016,0.2708,0.0046,3.9017
424,0.9897,1.3320,0.2588,0.0044,3.8448
425,0.8537,1.4726,0.2379,0.0040,3.7867
426,0.9083,1.4379,0.2639,0.0045,3.8302
427,1.1458,1.1883,0.2818,0.0049,3.8487
428,0.9639,1.3946,0.2610,0.0045,3.8265
429,1.0384,1.3222,0.2604,0.0044,3.8399
430,0.8595,1.4440,0.2651,0.0045,3.8713
431,0.8669,1.5726,0.2554,0.0043,3.8881
432,0.7472,1.5928,0.2567,0.0044,3.8781
433,0.9371,1.3912,0.2543,0.0043,3.9039
434,0.9413,1.4006,0.2556,0.0043,3.9039
435,0.8646,1.4318,0.2379,0.0040,3.9080
436,1.3539,1.0678,0.2513,0.0043,3.8464
437,1.0468,1.1140,0.2343,0.0039,3.8223
438,0.9508,1.1978,0.2215,0.0037,3.8733
439,1.1791,1.1411,0.2387,0.0040,3.8790
440,1.0482,1.2898,0.2535,0.0043,3.8491
441,0.7124,1.5804,0.2392,0.0040,3.8804
442,1.2398,1.2497,0.2579,0.0044,3.8580
443,0.7690,1.6257,0.2623,0.0045,3.9312
444,0.8802,1.4636,0.2491,0.0042,3.9267
445,0.6872,1.6222,0.2421,0.0041,3.9333
446,0.9308,1.4064,0.2995,0.0052,3.9642
447,0.7532,1.6301,0.2888,0.0050,3.9871
448,0.7879,1.6344,0.2858,0.0049,4.0017
449,0.6748,1.7566,0.2670,0.0045,3.9569
450,0.6160,1.6838,0.2674,0.0046,3.9861
451,0.8026,1.5900,0.2930,0.0051,3.9920
452,0.8115,1.6056,0.2907,0.0050,3.9949
453,0.8895,1.6064,0.3108,0.0054,4.0595
454,0.7555,1.5745,0.2816,0.0048,3.9828
455,0.8649,1.4212,0.2938,0.0051,4.0190
456,0.5760,1.9669,0.2991,0.0052,4.0192
457,1.1205,1.4747,0.3030,0.0053,3.9831
458,0.8738,1.5500,0.2753,0.0047,3.9664
459,0.7053,1.6611,0.2776,0.0047,4.0621
460,0.7458,1.5571,0.2882,0.0050,4.0069
461,0.6750,1.6975,0.2874,0.0049,4.1196
462,0.7959,1.4845,0.2873,0.0049,4.1393
463,0.7768,1.6324,0.3133,0.0054,4.0963
464,0.7441,1.6261,0.3101,0.0054,4.1630
465,0.7715,1.5694,0.2927,0.0050,4.1034
466,0.4305,2.0921,0.3082,0.0053,4.1862
467,1.0657,1.5031,0.3288,0.0057,4.2376
468,0.7152,1.7000,0.2907,0.0050,4.0832
469,0.7374,1.6230,0.3406,0.0060,4.1277
470,0.8317,1.6163,0.3227,0.0056,4.1785
471,0.8284,1.6085,0.3228,0.0056,4.1638
472,0.6947,1.7249,0.3373,0.0059,4.2084
473,0.6090,1.8675,0.3223,0.0056,4.2471
474,1.0228,1.4809,0.3272,0.0057,4.3009
475,0.6941,1.7656,0.2976,0.0051,4.1996
476,0.8862,1.5270,0.3201,0.0056,4.1801
477,0.9358,1.4414,0.3202,0.0056,4.2199
478,1.0888,1.2820,0.3079,0.0053,4.1558
479,0.8456,1.3984,0.2852,0.0049,4.2513
480,0.9357,1.3407,0.2847,0.0049,4.1901
481,0.9940,1.3306,0.3014,0.0052,4.1802
482,0.7313,1.7183,0.3413,0.0060,4.2580
483,0.8214,1.6928,0.3431,0.0060,4.4574
484,0.7752,1.7223,0.3185,0.0055,4.3154
485,0.6993,1.7637,0.3001,0.0051,4.3003
486,0.8979,1.4868,0.3032,0.0052,4.2646
487,0.9948,1.3101,0.2993,0.0051,4.2894
488,1.0154,1.4423,0.3050,0.0052,4.3397
489,0.8013,1.5719,0.3101,0.0053,4.3626
490,0.8679,1.6128,0.3205,0.0055,4.4473
491,0.8188,1.6544,0.3313,0.0058,4.2933
492,1.1143,1.4102,0.3253,0.0056,4.3261
493,0.9624,1.4325,0.3207,0.0056,4.3088
494,0.8224,1.4246,0.3076,0.0053,4.3281
495,1.0026,1.3553,0.2986,0.0051,4.3407
496,1.1472,1.2832,0.3148,0.0054,4.4143
497,1.0358,1.4244,0.3041,0.0052,4.4031
498,0.9994,1.3129,0.2963,0.0050,4.4599
499,0.9905,1.4364,0.2912,0.0049,4.4564
500,0.8616,1.4798,0.2888,0.0049,4.3939
501,1.0357,2.3216,5.4945,0.0248,592.9693
502,1.0714,2.3106,3.4342,0.0254,301.3273
503,1.1254,2.3071,3.1806,0.0247,270.2525
504,1.1287,2.2767,2.9206,0.0245,234.8004
505,1.0736,2.2476,2.8413,0.0240,227.3830
506,1.1385,2.1878,2.7075,0.0236,210.6039
507,1.4187,2.0334,2.7236,0.0242,208.6939
508,1.0617,2.2384,2.6493,0.0235,202.8693
509,1.1045,2.2059,2.5180,0.0225,191.5621
510,0.9239,2.2663,2.5029,0.0223,189.9973
511,0.9272,2.2627,2.5024,0.0223,189.4090
512,0.9750,2.2786,2.4844,0.0221,188.0345
